,Shark_sp,Deadly_act
545,undef. shark,diving
546,undef. shark,surfing
547,undef. shark,surfing
548,undef. shark,swimming
549,bull shark,swimming
550,undef. shark,surfing
551,reef shark,surfing
552,undef. shark,surfing
553,undef. shark,swimming
554,undef. shark,surfing
555,undef. shark,sailing
556,undef. shark,swimming
557,nurse shark,fishing
558,blacktip shark,swimming
559,undef. shark,swimming
560,blacktip shark,swimming
561,blacktip shark,swimming
562,undef. shark,surfing
563,undef. shark,swimming
564,white shark,surfing
565,undef. shark,surfing
566,undef. shark,sailing
567,undef. shark,swimming
568,bull shark,diving
569,undef. shark,surfing
570,tiger shark,fishing
571,undef. shark,fishing
572,white shark,surfing
573,undef. shark,swimming
574,white shark,sailing
575,undef. shark,surfing
576,white shark,sailing
577,white shark,surfing
578,tiger shark,surfing
579,undef. shark,undef. act
580,white shark,diving
581,undef. shark,surfing
582,white shark,undef. act
583,bull shark,surfing
584,bull shark,surfing
585,undef. shark,surfing
586,undef. shark,surfing
587,undef. shark,surfing
588,nurse shark,diving
589,undef. shark,sailing
590,undef. shark,surfing
591,undef. shark,swimming
592,undef. shark,fishing
593,undef. shark,surfing
594,nurse shark,fishing
595,white shark,fishing
596,undef. shark,surfing
597,tiger shark,diving
598,undef. shark,diving
599,tiger shark,diving
600,undef. shark,fishing
601,white shark,surfing
602,bull shark,swimming
603,white shark,surfing
604,undef. shark,surfing
605,tiger shark,fishing
606,undef. shark,undef. act
607,undef. shark,swimming
608,undef. shark,surfing
609,undef. shark,surfing
610,undef. shark,surfing
611,undef. shark,fishing
612,white shark,surfing
613,undef. shark,surfing
614,undef. shark,surfing
615,undef. shark,surfing
616,undef. shark,fishing
617,undef. shark,surfing
618,undef. shark,surfing
619,undef. shark,swimming
620,white shark,surfing
621,undef. shark,diving
622,undef. shark,surfing
623,undef. shark,diving
624,white shark,surfing
625,undef. shark,surfing
626,nurse shark,diving
627,white shark,diving
628,white shark,surfing
629,undef. shark,diving
630,undef. shark,surfing
631,undef. shark,surfing
632,undef. shark,swimming
633,undef. shark,surfing
634,undef. shark,fishing
635,undef. shark,undef. act
636,undef. shark,surfing
637,undef. shark,fishing
638,white shark,swimming
639,bull shark,fishing
640,undef. shark,undef. act
641,undef. shark,surfing
642,undef. shark,sailing
643,undef. shark,swimming
644,undef. shark,surfing
645,undef. shark,surfing
646,tiger shark,surfing
647,undef. shark,surfing
648,white shark,sailing
649,undef. shark,surfing
650,undef. shark,surfing
651,undef. shark,swimming
652,undef. shark,fishing
653,undef. shark,sailing
654,undef. shark,surfing
655,undef. shark,undef. act
656,white shark,surfing
657,undef. shark,swimming
658,nurse shark,swimming
659,undef. shark,undef. act
660,undef. shark,swimming
661,reef shark,surfing
662,undef. shark,sailing
663,bull shark,swimming
664,undef. shark,surfing
665,undef. shark,swimming
666,undef. shark,diving
667,undef. shark,swimming
668,undef. shark,undef. act
669,undef. shark,fishing
670,white shark,surfing
671,undef. shark,sailing
672,undef. shark,surfing
673,undef. shark,fishing
674,undef. shark,diving
675,undef. shark,swimming
676,undef. shark,fishing
677,undef. shark,surfing
678,undef. shark,surfing
679,undef. shark,diving
680,undef. shark,surfing
681,undef. shark,diving
682,bull shark,surfing
683,white shark,surfing
684,undef. shark,surfing
685,undef. shark,fishing
686,undef. shark,surfing
687,undef. shark,sailing
688,copper shark,fishing
689,blacktip shark,diving
690,undef. shark,fishing
691,undef. shark,fishing
692,undef. shark,swimming
693,reef shark,diving
694,undef. shark,sailing
695,white shark,surfing
696,tiger shark,surfing
697,tiger shark,sailing
698,tiger shark,sailing
699,bull shark,fishing
700,undef. shark,surfing
701,undef. shark,surfing
702,undef. shark,fishing
703,undef. shark,fishing
704,undef. shark,fishing
705,bull shark,fishing
706,reef shark,undef. act
707,undef. shark,surfing
708,copper shark,surfing
709,bull shark,surfing
710,undef. shark,diving
711,blacktip shark,sailing
712,bull shark,swimming
713,bull shark,surfing
714,undef. shark,swimming
715,undef. shark,diving
716,undef. shark,undef. act
717,undef. shark,undef. act
718,undef. shark,surfing
719,bull shark,fishing
720,undef. shark,fishing
721,undef. shark,surfing
722,white shark,diving
723,undef. shark,fishing
724,undef. shark,diving
725,undef. shark,fishing
726,undef. shark,fishing
727,undef. shark,swimming
728,undef. shark,fishing
729,reef shark,diving
730,undef. shark,swimming
731,undef. shark,surfing
732,undef. shark,swimming
733,white shark,fishing
734,undef. shark,sailing
735,undef. shark,surfing
736,undef. shark,surfing
737,copper shark,diving
738,undef. shark,surfing
739,mako shark,diving
740,mako shark,diving
741,copper shark,diving
742,copper shark,diving
743,undef. shark,fishing
744,undef. shark,swimming
745,undef. shark,diving
746,undef. shark,diving
747,undef. shark,surfing
748,white shark,fishing
749,white shark,diving
750,undef. shark,fishing
751,undef. shark,surfing
752,undef. shark,fishing
753,undef. shark,diving
754,undef. shark,surfing
755,white shark,sailing
756,undef. shark,diving
757,bull shark,surfing
758,undef. shark,diving
759,undef. shark,surfing
760,undef. shark,surfing
761,white shark,surfing
762,undef. shark,surfing
763,white shark,swimming
764,undef. shark,surfing
765,undef. shark,swimming
766,undef. shark,swimming
767,undef. shark,surfing
768,undef. shark,surfing
769,undef. shark,surfing
770,undef. shark,undef. act
771,undef. shark,swimming
772,undef. shark,sailing
773,white shark,surfing
774,white shark,fishing
775,undef. shark,fishing
776,undef. shark,swimming
777,undef. shark,surfing
778,undef. shark,surfing
779,undef. shark,surfing
780,undef. shark,swimming
781,white shark,surfing
782,undef. shark,sailing
783,undef. shark,sailing
784,undef. shark,surfing
785,blacktip shark,swimming
786,nurse shark,swimming
787,undef. shark,surfing
788,undef. shark,swimming
789,undef. shark,fishing
790,nurse shark,fishing
791,undef. shark,diving
792,undef. shark,fishing
793,undef. shark,surfing
794,undef. shark,undef. act
795,bull shark,surfing
796,undef. shark,sailing
797,undef. shark,swimming
798,undef. shark,swimming
799,undef. shark,sailing
800,undef. shark,surfing
801,undef. shark,surfing
802,undef. shark,fishing
803,undef. shark,undef. act
804,undef. shark,swimming
805,undef. shark,surfing
806,undef. shark,diving
807,undef. shark,swimming
808,undef. shark,undef. act
809,undef. shark,surfing
810,undef. shark,surfing
811,copper shark,swimming
812,undef. shark,surfing
813,undef. shark,swimming
814,undef. shark,surfing
