,Shark_sp,Deadly_act,Genre
1033,undef. shark,surfing,M
1034,undef. shark,surfing,M
1035,undef. shark,diving,M
1036,white shark,swimming,M
1037,bull shark,fishing,M
1038,undef. shark,swimming,M
1039,undef. shark,fishing,M
1040,tiger shark,surfing,M
1041,undef. shark,surfing,M
1042,undef. shark,surfing,M
1043,bull shark,swimming,M
1044,undef. shark,surfing,M
1045,white shark,swimming,M
1046,undef. shark,surfing,M
1047,tiger shark,undef. act,M
1048,tiger shark,diving,M
1049,undef. shark,swimming,M
1050,undef. shark,surfing,M
1051,undef. shark,surfing,M
1052,undef. shark,sailing,M
1053,undef. shark,fishing,M
1054,undef. shark,surfing,M
1055,bull shark,sailing,M
1056,undef. shark,sailing,M
1057,undef. shark,fishing,M
1058,undef. shark,surfing,M
1059,undef. shark,swimming,M
1060,undef. shark,sailing,M
1061,undef. shark,swimming,M
1062,undef. shark,surfing,M
1063,white shark,surfing,M
1064,bull shark,diving,M
1065,undef. shark,fishing,M
1066,undef. shark,surfing,M
1067,undef. shark,surfing,F
1068,undef. shark,surfing,M
1071,undef. shark,swimming,M
1073,undef. shark,surfing,M
1076,undef. shark,surfing,M
1077,undef. shark,diving,M
1078,undef. shark,surfing,M
1079,undef. shark,swimming,M
1080,undef. shark,swimming,M
1081,tiger shark,surfing,M
1082,undef. shark,surfing,F
1083,undef. shark,undef. act,M
1085,undef. shark,surfing,M
1086,undef. shark,surfing,M
1087,undef. shark,surfing,M
1088,undef. shark,surfing,M
1089,white shark,surfing,M
1090,undef. shark,diving,M
1091,tiger shark,sailing,M
1092,white shark,surfing,F
1094,undef. shark,surfing,M
1096,undef. shark,surfing,M
1097,undef. shark,undef. act,M
1098,tiger shark,swimming,F
1100,white shark,surfing,F
1102,undef. shark,diving,F
1103,undef. shark,surfing,F
1104,undef. shark,surfing,M
1106,undef. shark,swimming,M
1107,undef. shark,surfing,F
1109,undef. shark,swimming,F
1110,undef. shark,swimming,F
1111,undef. shark,sailing,M
1112,undef. shark,undef. act,F
1113,undef. shark,swimming,M
1114,tiger shark,sailing,M
1115,white shark,surfing,M
1116,undef. shark,surfing,M
1117,undef. shark,surfing,M
1118,undef. shark,diving,M
1120,undef. shark,swimming,M
1121,undef. shark,surfing,M
1122,undef. shark,surfing,M
1123,bull shark,sailing,M
1124,undef. shark,swimming,F
1125,undef. shark,sailing,M
1126,undef. shark,swimming,M
1127,undef. shark,sailing,M
1128,bull shark,undef. act,F
1129,undef. shark,surfing,M
